X, Y, Z, disp
-8.819212643483549385e-01,-4.713967368259974755e-01,-5.239368452791246204e-18,0.000000000000000000e+00
-9.238795325112869605e-01,-3.826834323650897818e-01,8.724343106773350875e-18,0.000000000000000000e+00
-9.034470313343798686e-01,-4.183233741859624377e-01,8.921841842817268553e-02,4.531334546261849699e-03
-9.834653562589963371e-01,-1.512560598113736610e-01,9.440301270957415780e-02,5.183619971240081836e-03
-9.807852804032303196e-01,-1.950903220161283591e-01,1.121266850549271794e-18,0.000000000000000000e+00
-9.951847266721968177e-01,-9.801714032956057587e-02,-4.028721920842774011e-18,0.000000000000000000e+00
-9.569403357322087134e-01,-2.902846772544620535e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.397359943287179052e-01,-3.359686301315262247e-01,5.946725567616081842e-02,3.946784808271930345e-03
-9.955763549136987800e-01,-4.706153132578858728e-02,7.728563500996347979e-02,4.034312149539473653e-03
-9.630789433113233766e-01,-2.570569407314449717e-01,7.594621414719182617e-02,4.058024316372348811e-03
-8.464720582248916880e-01,-5.242292778311760104e-01,8.823888610013054523e-02,4.867069182652911802e-03
-8.314696123025453467e-01,-5.555702330196018446e-01,-3.967606814283154042e-18,0.000000000000000000e+00
-7.730104533627369934e-01,-6.343932841636451547e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.015332419854509505e-01,-5.944575667737044267e-01,6.087478756751658893e-02,3.659414974848982077e-03
-7.384667094384766983e-01,-6.683802920894188482e-01,8.430375902787119735e-02,4.773197574670996410e-03
-7.071067811865475727e-01,-7.071067811865473507e-01,-4.048001606039235614e-18,0.000000000000000000e+00
-8.689894344135000726e-01,-4.679183547500878615e-01,1.541067940647796175e-01,6.858345532824047103e-03
-6.726367125915246881e-01,-7.370377902340851106e-01,6.208074296151299548e-02,3.761102706139351094e-03
-9.346479441323922721e-01,-3.255544522672672580e-01,1.365505909363584347e-01,6.444231130917237038e-03
-9.999999999999998890e-01,-2.541878499548909488e-18,-2.912741361711486613e-18,0.000000000000000000e+00
-9.845014829544732615e-01,-8.199810278985893153e-02,1.487054726541462424e-01,6.320787054673546526e-03
-9.560075381879428180e-01,-2.368724366150839478e-01,1.661890122019474281e-01,6.845769561320427452e-03
-8.973110768649376068e-01,-3.947246709883333593e-01,1.902235248648040666e-01,7.324609645846779857e-03
-8.235653645331914019e-01,-5.326943156288758141e-01,1.872978844807888787e-01,7.578631390148127950e-03
-6.343932841636460429e-01,-7.730104533627367713e-01,5.104537952129047563e-18,0.000000000000000000e+00
-9.685182356192721942e-01,-1.461228659778120720e-01,1.939616359741720975e-01,7.583731899570473473e-03
-9.226632240139899244e-01,-3.042846240050840478e-01,2.283368941849522327e-01,8.524758781910692779e-03
-5.555702330196022887e-01,-8.314696123025453467e-01,3.767869560829133791e-18,0.000000000000000000e+00
-6.019430069357598612e-01,-7.932268661052266356e-01,8.734609480189828301e-02,4.609086074529429589e-03
-4.713967368259978641e-01,-8.819212643483547165e-01,4.280788025966706735e-19,0.000000000000000000e+00
-5.122442195574621326e-01,-8.546278489744132401e-01,8.010675942141808059e-02,4.846753085919487322e-03
-7.685211509747378322e-01,-5.903640077468625957e-01,2.379386599322982632e-01,8.730306217734757485e-03
-8.038946033832022886e-01,-5.168854515252644388e-01,2.850474912529116223e-01,9.202226933678461784e-03
-7.260650084626966150e-01,-6.584543185194859927e-01,1.901837805327843967e-01,7.976543218222931914e-03
-7.043151860316788637e-01,-6.457883397939571113e-01,2.851751636023850400e-01,9.608721491977698786e-03
-6.567288597378763138e-01,-7.126665403283604094e-01,2.377558008317071370e-01,8.848349749329385144e-03
-8.551508105654461733e-01,-4.563246513560057505e-01,2.375832052501336833e-01,8.353582876571789134e-03
-7.879028075162841649e-01,-5.986657406868578502e-01,1.377670479446024554e-01,6.484457544293030680e-03
-6.681865798204453810e-01,-7.291611055404600972e-01,1.411420893633296425e-01,6.677992881505391901e-03
-7.460896509878197636e-01,-5.696091184671311369e-01,3.351764747087250806e-01,9.636061095835462414e-03
-6.310399205048957683e-01,-6.972460434411791308e-01,3.295324419687528650e-01,1.052133853485523463e-02
-9.954582786694515795e-01,5.146724101055345085e-02,7.606997134404071270e-02,4.017097095341661504e-03
-9.398684340454657171e-01,-2.133232735533248658e-01,2.582294721483629485e-01,8.492307324962204002e-03
-4.144137568102571612e-01,-9.054519324013607928e-01,8.599657217506934126e-02,5.753284920464138072e-03
-6.022947772657635257e-01,-7.750622485383114046e-01,1.832540401889382609e-01,7.846750414139971874e-03
-9.486029067029584372e-01,-1.201311113568453853e-01,2.841212382614740628e-01,8.660321060262125489e-03
-8.824149650706503145e-01,-3.703979109899118716e-01,2.814088011454070615e-01,8.676043259936936161e-03
-3.826834323650903369e-01,-9.238795325112866275e-01,3.148132573246111138e-18,0.000000000000000000e+00
-9.951847266721969287e-01,9.801714032956083955e-02,5.179557681705190641e-18,0.000000000000000000e+00
-6.751675188074921508e-01,-6.258198331973754414e-01,3.795713125926496456e-01,1.093906873433070706e-02
-9.717848978970053953e-01,-5.351198509377965568e-02,2.219560472217546876e-01,7.762431944875696974e-03
-9.875420809129026312e-01,2.782143207815229377e-03,1.509920787537784304e-01,6.338458985672696180e-03
-9.026989740324457001e-01,-2.782720834730252335e-01,3.188599013135803850e-01,9.315676449834536105e-03
-8.343305194515313605e-01,-4.310077864084763677e-01,3.341678482418684593e-01,9.525143201080185293e-03
-9.157645700039008796e-01,-1.865309892090085964e-01,3.460099983635666065e-01,9.772860119356104394e-03
-3.362479975947702537e-01,-9.400643943503592670e-01,5.337857613034988763e-02,3.333138604786531865e-03
-7.125910694331005768e-01,-5.481912555737815662e-01,4.267651143835973770e-01,1.107083100763145075e-02
-5.813122263029034675e-01,-7.619371869377284945e-01,2.756336211648736656e-01,9.897145499915663974e-03
-4.719169387823236583e-01,-8.651844964458312859e-01,1.617501024783545571e-01,7.808707378561311439e-03
-9.831099076433431616e-01,1.574445453813261842e-01,8.848065968161294981e-02,4.825956499472964893e-03
-8.741224127709595892e-01,-2.519460310453426333e-01,4.050519484066198439e-01,1.019882514109438088e-02
-2.902846772544623311e-01,-9.569403357322087134e-01,0.000000000000000000e+00,0.000000000000000000e+00
-5.995681456003677523e-01,-6.748279386031723615e-01,4.183682148254768696e-01,1.189367293816056409e-02
-6.406152850935009635e-01,-6.003611914003524896e-01,4.665360989300603722e-01,1.218981050551795273e-02
-5.276691155782200493e-01,-8.178195643689492034e-01,2.205733842686746771e-01,9.070828809471501511e-03
-5.495251627523516369e-01,-8.218605762355833955e-01,1.433834852464152820e-01,6.840643080947602338e-03
-7.779255203310546651e-01,-4.906378173486508620e-01,3.825119011165916127e-01,1.005200069432391451e-02
-9.841821545462393628e-01,8.621475929070024358e-02,1.484103060888496139e-01,6.355652549247312391e-03
-9.190781738205524576e-01,-9.168083505984427062e-02,3.732529722855296717e-01,1.000925503332258590e-02
-8.572622188990943748e-01,-3.428024319727136504e-01,3.746099019091690963e-01,9.561909500510234333e-03
-5.528965838091741691e-01,-7.434745354367982006e-01,3.651605067981230079e-01,1.107211109828167353e-02
-3.868580238853206454e-01,-9.010271342507227832e-01,1.877877050832527928e-01,8.403458579831137032e-03
-9.807852804032303196e-01,1.950903220161285812e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.816213343770522570e-01,-1.585774493445233635e-01,4.335792514331954783e-01,1.093960680637405536e-02
-5.633924582025008343e-01,-6.464288902035099094e-01,5.010863139345922423e-01,1.342182783850109397e-02
-5.009745991883932659e-01,-8.041050869972024007e-01,3.095486125845788306e-01,1.051303777867538918e-02
-2.500274575639002128e-01,-9.650472752703936896e-01,7.325871430346510282e-02,5.290804837782403861e-03
